DateTime,MV Ratio,Price
2015-06-01T00:00:00.000Z,0.775255,225.04
2015-06-08T00:00:00.000Z,0.797743,229.99
2015-06-15T00:00:00.000Z,0.848822,244.75
2015-06-22T00:00:00.000Z,0.849022,244.54
2015-06-29T00:00:00.000Z,0.899816,258.48
2015-07-06T00:00:00.000Z,0.969966,278.97
2015-07-13T00:00:00.000Z,0.970545,281.19
2015-07-20T00:00:00.000Z,0.976032,280.63
2015-07-27T00:00:00.000Z,0.992956,286.76
2015-08-03T00:00:00.000Z,0.955633,276.37
2015-08-10T00:00:00.000Z,0.923666,263.8
2015-08-17T00:00:00.000Z,0.834018,237.27
2015-08-24T00:00:00.000Z,0.796901,223.61
2015-08-31T00:00:00.000Z,0.824182,230.25
2015-09-07T00:00:00.000Z,0.850871,238.43
2015-09-14T00:00:00.000Z,0.826823,231.43
2015-09-21T00:00:00.000Z,0.831509,231.81
2015-09-28T00:00:00.000Z,0.85434,239.84
2015-10-05T00:00:00.000Z,0.878139,243.33
2015-10-12T00:00:00.000Z,0.924522,256.33
2015-10-19T00:00:00.000Z,0.985844,273.73
2015-10-26T00:00:00.000Z,1.1,305.97
2015-11-02T00:00:00.000Z,1.33,385.2
2015-11-09T00:00:00.000Z,1.16,339.07
2015-11-16T00:00:00.000Z,1.14,326.61
2015-11-23T00:00:00.000Z,1.19,340.91
2015-11-30T00:00:00.000Z,1.28,369.67
2015-12-07T00:00:00.000Z,1.44,416.96
2015-12-14T00:00:00.000Z,1.52,451.66
2015-12-21T00:00:00.000Z,1.46,437.35
2015-12-28T00:00:00.000Z,1.42,428.22
2016-01-04T00:00:00.000Z,1.46,440.54
2016-01-11T00:00:00.000Z,1.35,414.98
2016-01-11T00:00:00.000Z,1.27,384.22
2016-01-18T00:00:00.000Z,1.3,393.08
2016-01-25T00:00:00.000Z,1.26,384.9
2016-02-01T00:00:00.000Z,1.24,377.7
2016-02-08T00:00:00.000Z,1.26,382.51
2016-02-15T00:00:00.000Z,1.38,418.41
2016-02-22T00:00:00.000Z,1.4,426.56
2016-02-29T00:00:00.000Z,1.35,419.42
2016-03-07T00:00:00.000Z,1.34,413.28
2016-03-14T00:00:00.000Z,1.33,412.61
2016-03-21T00:00:00.000Z,1.34,415.54
2016-03-28T00:00:00.000Z,1.34,416.51
2016-04-04T00:00:00.000Z,1.34,419.22
2016-04-11T00:00:00.000Z,1.36,424.94
2016-04-18T00:00:00.000Z,1.41,441.31
2016-04-25T00:00:00.000Z,1.43,453.53
2016-05-02T00:00:00.000Z,1.42,450.95
2016-05-09T00:00:00.000Z,1.42,455.24
2016-05-16T00:00:00.000Z,1.39,448.07
2016-05-23T00:00:00.000Z,1.46,467.4
2016-05-30T00:00:00.000Z,1.67,547.55
2016-06-06T00:00:00.000Z,1.78,584.96
2016-06-13T00:00:00.000Z,2.09,716.83
2016-06-20T00:00:00.000Z,1.84,655.81
2016-06-27T00:00:00.000Z,1.85,656.8
2016-07-04T00:00:00.000Z,1.83,653.42
2016-07-11T00:00:00.000Z,1.82,659.83
2016-07-18T00:00:00.000Z,1.82,662.47
2016-07-25T00:00:00.000Z,1.77,651.65
2016-08-01T00:00:00.000Z,1.57,573.77
2016-08-08T00:00:00.000Z,1.6,586.42
2016-08-15T00:00:00.000Z,1.57,574.58
2016-08-22T00:00:00.000Z,1.57,578.72
2016-08-29T00:00:00.000Z,1.57,589.8
2016-09-05T00:00:00.000Z,1.66,614.65
2016-09-12T00:00:00.000Z,1.63,608.01
2016-09-19T00:00:00.000Z,1.61,602.66
2016-09-26T00:00:00.000Z,1.62,606.51
2016-10-03T00:00:00.000Z,1.63,612.72
2016-10-10T00:00:00.000Z,1.67,633.01
2016-10-17T00:00:00.000Z,1.67,637.56
2016-10-24T00:00:00.000Z,1.77,676.93
2016-10-31T00:00:00.000Z,1.83,706.27
2016-11-07T00:00:00.000Z,1.81,710.34
2016-11-14T00:00:00.000Z,1.85,728.23
2016-11-21T00:00:00.000Z,1.85,736.46
2016-11-28T00:00:00.000Z,1.86,749.33
2016-12-05T00:00:00.000Z,1.87,764.88
2016-12-12T00:00:00.000Z,1.89,779.69
2016-12-19T00:00:00.000Z,2.04,844.72
2016-12-26T00:00:00.000Z,2.23,944.49
2017-01-02T00:00:00.000Z,2.21,975.67
2017-01-09T00:00:00.000Z,1.86,836.3
2017-01-16T00:00:00.000Z,1.97,881.93
2017-01-23T00:00:00.000Z,1.99,911.14
2017-01-30T00:00:00.000Z,2.15,981.41
2017-02-06T00:00:00.000Z,2.16,1010.98
2017-02-13T00:00:00.000Z,2.17,1023.33
2017-02-20T00:00:00.000Z,2.36,1125
2017-02-27T00:00:00.000Z,2.49,1228.19
2017-03-06T00:00:00.000Z,2.34,1193.52
2017-03-13T00:00:00.000Z,2.2,1150.78
2017-03-20T00:00:00.000Z,1.93,1017.11
2017-03-27T00:00:00.000Z,1.71,1050.96
2017-04-03T00:00:00.000Z,2.18,1160.79
2017-04-10T00:00:00.000Z,2.2,1170.39
2017-04-17T00:00:00.000Z,2.25,1221.07
2017-04-24T00:00:00.000Z,2.32,1298.75
