DateTime,Total Volume,Price
2015-08-10T00:00:00.000Z,1262622.4972109443,263.79785714285714
2015-08-17T00:00:00.000Z,1493515.5707790072,237.26714285714283
2015-08-24T00:00:00.000Z,1531885.1749979544,223.61357142857145
2015-08-31T00:00:00.000Z,1204721.507461373,230.24500000000003
2015-09-07T00:00:00.000Z,1147578.3058411828,238.42928571428573
2015-09-14T00:00:00.000Z,1240605.021832107,231.42499999999998
2015-09-21T00:00:00.000Z,1257320.4967631956,231.81214285714285
2015-09-28T00:00:00.000Z,1408127.8477122628,239.84285714285716
2015-10-05T00:00:00.000Z,1441001.7733774427,243.33214285714288
2015-10-12T00:00:00.000Z,1609408.9396916514,256.32571428571424
2015-10-19T00:00:00.000Z,1470766.9868348257,273.72999999999996
2015-10-26T00:00:00.000Z,1989543.93516076,305.96642857142854
2015-11-02T00:00:00.000Z,4007478.3582005003,385.1992857142856
2015-11-09T00:00:00.000Z,2939812.529637301,339.07142857142856
2015-11-16T00:00:00.000Z,1906696.9484111513,326.6114285714285
2015-11-23T00:00:00.000Z,1760837.9723566528,340.9107142857143
2015-11-30T00:00:00.000Z,3265235.1197867803,369.67071428571427
2015-12-07T00:00:00.000Z,3678298.22417856,416.9628571428571
2015-12-14T00:00:00.000Z,4243346.420105731,451.66142857142853
2015-12-21T00:00:00.000Z,3906833.4890759513,437.3521428571429
2015-12-28T00:00:00.000Z,1522868.8852357604,428.2228571428571
2016-01-04T00:00:00.000Z,1229954.5960884443,440.53785714285715
2016-01-11T00:00:00.000Z,2757574.1271691644,414.9757142857143
2016-01-18T00:00:00.000Z,18905856.869823553,393.0821428571429
2016-01-25T00:00:00.000Z,8577808.323128065,384.8978571428571
2016-02-01T00:00:00.000Z,3271717.6931380588,377.6992857142858
2016-02-08T00:00:00.000Z,2600163.129665293,382.505
2016-02-15T00:00:00.000Z,4113916.4457632876,418.41428571428565
2016-02-22T00:00:00.000Z,4213220.352843521,426.5564285714286
2016-02-29T00:00:00.000Z,8451639.128640044,419.41999999999996
2016-03-07T00:00:00.000Z,2218804.6533084684,413.28428571428566
2016-03-14T00:00:00.000Z,5160881.661587601,412.60571428571427
2016-03-21T00:00:00.000Z,1997935.028522747,415.5421428571429
2016-03-28T00:00:00.000Z,1989384.1220644885,416.51000000000005
2016-04-04T00:00:00.000Z,2358450.027282077,419.22214285714284
2016-04-11T00:00:00.000Z,3106231.8382621557,424.93642857142856
2016-04-18T00:00:00.000Z,3960003.9911029423,441.31
2016-04-25T00:00:00.000Z,2424614.4869664744,453.52642857142865
2016-05-02T00:00:00.000Z,2143088.086583153,450.95214285714286
2016-05-09T00:00:00.000Z,2230134.0717669944,455.2357142857142
2016-05-16T00:00:00.000Z,2201802.493990361,448.0678571428572
2016-05-23T00:00:00.000Z,3158113.69321953,467.4021428571429
2016-05-30T00:00:00.000Z,2109853.626161667,547.5471428571428
2016-06-06T00:00:00.000Z,2173412.679149294,584.9628571428572
2016-06-13T00:00:00.000Z,2476619.920204544,716.8328571428572
2016-06-20T00:00:00.000Z,2582492.6783164255,655.8071428571429
2016-06-27T00:00:00.000Z,2001369.529393043,656.8042857142857
2016-07-04T00:00:00.000Z,2175626.65520385,653.4207142857143
2016-07-11T00:00:00.000Z,2322867.475176963,659.8285714285714
2016-07-18T00:00:00.000Z,2223062.0927357674,662.467857142857
2016-07-25T00:00:00.000Z,2155927.8722412228,651.647857142857
2016-08-01T00:00:00.000Z,2345114.665798967,573.7685714285715
2016-08-08T00:00:00.000Z,2044207.4509059985,586.4164285714286
2016-08-15T00:00:00.000Z,2135695.723147924,574.5842857142858
2016-08-22T00:00:00.000Z,1880943.872859093,578.7192857142857
2016-08-29T00:00:00.000Z,1593477.6328547702,589.8007142857143
2016-09-05T00:00:00.000Z,1611539.1840413802,614.652142857143
2016-09-12T00:00:00.000Z,1728464.4556264654,608.0121428571429
2016-09-19T00:00:00.000Z,2094547.5586235984,602.655
2016-09-26T00:00:00.000Z,1974454.0958522542,606.505
2016-10-03T00:00:00.000Z,2276777.35401671,612.7178571428573
2016-10-10T00:00:00.000Z,2588556.8236338557,633.01
2016-10-17T00:00:00.000Z,2171642.2458597687,637.5607142857143
2016-10-24T00:00:00.000Z,2415505.467448746,676.9285714285714
2016-10-31T00:00:00.000Z,4620697.2107696505,706.2692857142857
2016-11-07T00:00:00.000Z,2269689.7800780027,710.3442857142857
2016-11-14T00:00:00.000Z,1536329.968022683,728.2342857142858
2016-11-21T00:00:00.000Z,1498008.2248663811,736.4578571428573
2016-11-28T00:00:00.000Z,1391537.824248046,749.3292857142859
2016-12-05T00:00:00.000Z,1443312.8720364312,764.8764285714286
2016-12-12T00:00:00.000Z,1654109.9249260444,779.6878571428571
2016-12-19T00:00:00.000Z,2049510.5350077786,844.72
2016-12-26T00:00:00.000Z,1753123.5320212787,944.49
2017-01-02T00:00:00.000Z,2276907.4374158112,975.6692857142856
2017-01-09T00:00:00.000Z,2506277.9479311416,836.2957142857142
2017-01-16T00:00:00.000Z,2027899.589282173,881.9349999999998
2017-01-23T00:00:00.000Z,1706888.2697772942,911.1442857142856
2017-01-30T00:00:00.000Z,1934569.9950482,981.4142857142857
2017-02-06T00:00:00.000Z,1998909.6717087312,1010.9842857142856
2017-02-13T00:00:00.000Z,1917547.3359511974,1023.3285714285714
2017-02-20T00:00:00.000Z,1926936.5432417444,1125.0007142857144
2017-02-27T00:00:00.000Z,2405310.75149228,1228.1878571428572
2017-03-06T00:00:00.000Z,2548912.2306944095,1193.5242857142857
2017-03-13T00:00:00.000Z,2701248.00840972,1203.61
2017-03-13T00:00:00.000Z,4022278.8712845133,1052.1916666666666
2017-03-20T00:00:00.000Z,3732224.9489498,1017.107857142857
2017-03-27T00:00:00.000Z,2729431.9554817425,1050.9557142857143
2017-04-03T00:00:00.000Z,4032086.930085462,1160.7921428571428
2017-04-10T00:00:00.000Z,2006166.2514955415,1170.3878571428572
2017-04-17T00:00:00.000Z,2138697.7320103743,1221.0692857142858
2017-04-24T00:00:00.000Z,2368738.2217756114,1298.7535714285716
2017-05-01T00:00:00.000Z,2621225.7060680287,1487.8828571428571
2017-05-08T00:00:00.000Z,3226729.6454606014,1714.5014285714285
2017-05-15T00:00:00.000Z,3031744.0153337526,1862.2128571428568
2017-05-22T00:00:00.000Z,3257769.314806341,2258.817857142857
2017-05-29T00:00:00.000Z,3241196.39316164,2367.462142857143
2017-06-05T00:00:00.000Z,2596982.5539572015,2786.039285714286
2017-06-12T00:00:00.000Z,2944257.781855547,2563.0442857142857
2017-06-19T00:00:00.000Z,2786758.1305578984,2659.594285714286
2017-06-26T00:00:00.000Z,2878761.343659503,2495.7314285714288
2017-07-03T00:00:00.000Z,2481327.200963736,2572.275714285714
2017-07-10T00:00:00.000Z,2558431.0658685467,2252.809285714286
2017-07-17T00:00:00.000Z,2274580.83093997,2510.535714285714
2017-07-24T00:00:00.000Z,4731506.357109369,2680.9907142857146
2017-07-31T00:00:00.000Z,2369003.6985001657,2898.7035714285716
2017-08-07T00:00:00.000Z,2600876.9133251286,3548.0157142857142
2017-08-14T00:00:00.000Z,2578941.0071121044,4165.170714285715
2017-08-21T00:00:00.000Z,1780174.154816654,4196.228571428571
2017-08-28T00:00:00.000Z,1702072.4268745943,4588.2528571428575
2017-09-04T00:00:00.000Z,2758393.5745324404,4375.312857142856
2017-09-11T00:00:00.000Z,2666919.9405943765,3826.4449999999997
2017-09-18T00:00:00.000Z,1776953.8047524057,3802.462142857143
2017-09-25T00:00:00.000Z,1945951.5021273398,4104.751428571429
2017-10-02T00:00:00.000Z,1499853.4152506401,4365.032142857142
2017-10-09T00:00:00.000Z,1869806.8594910528,5206.398571428572
2017-10-16T00:00:00.000Z,1972297.5922840105,5727.073571428571
2017-10-23T00:00:00.000Z,2055889.4607011,5788.282142857143
2017-10-30T00:00:00.000Z,3299325.8943584943,6835.214285714285
2017-11-06T00:00:00.000Z,2699768.7685207603,6904.7985714285705
2017-11-13T00:00:00.000Z,3921813.489058832,7241.047142857143
2017-11-20T00:00:00.000Z,3200611.0554043343,8319.549285714285
2017-11-27T00:00:00.000Z,2514217.80153075,10243.687857142857
2017-12-04T00:00:00.000Z,2855018.411733437,13656.86214285714
2017-12-11T00:00:00.000Z,2814708.6485539493,17292.74714285714
2017-12-18T00:00:00.000Z,2017123.910858764,15786.449285714285
2017-12-25T00:00:00.000Z,2082856.5200692697,14244.844285714285
2018-01-01T00:00:00.000Z,2633274.106219309,15227.300714285715
2018-01-08T00:00:00.000Z,1886022.15358863,14203.349285714286
2018-01-15T00:00:00.000Z,1933678.4903216786,11866.17142857143
2018-01-22T00:00:00.000Z,1731383.5770226344,11146.739285714288
2018-01-29T00:00:00.000Z,1660018.4634073186,9649.471428571429
2018-02-05T00:00:00.000Z,1453660.1319214602,7939.090000000001
2018-02-12T00:00:00.000Z,1454587.9023630898,9622.914285714285
2018-02-19T00:00:00.000Z,1177150.4688388887,10424.175000000001
2018-02-26T00:00:00.000Z,983692.7715091144,10771.619999999999
2018-03-05T00:00:00.000Z,915576.90658887,9931.425714285713
2018-03-12T00:00:00.000Z,1529686.2234389957,8485
2018-03-19T00:00:00.000Z,1009208.44691834,8693.128571428571
2018-03-26T00:00:00.000Z,1111932.4538212258,7470.010714285715
2018-04-02T00:00:00.000Z,1137615.9718587757,7030.923571428572
2018-04-09T00:00:00.000Z,1141142.4988837687,7472.135714285714
2018-04-16T00:00:00.000Z,1172360.2498422558,8408.49
2018-04-23T00:00:00.000Z,1556755.9885463587,9172.559285714287
2018-04-30T00:00:00.000Z,1166935.32939394,9451.305000000002
2018-05-07T00:00:00.000Z,1120478.5639701341,8969.41
2018-05-14T00:00:00.000Z,1021871.8119716158,8367.891428571429
2018-05-21T00:00:00.000Z,914709.60244362,7746.340714285713
2018-05-28T00:00:00.000Z,1190113.5253594243,7464.823571428571
2018-06-04T00:00:00.000Z,1255602.23903626,7538.827142857143
2018-06-11T00:00:00.000Z,1434325.5152767643,6548.727857142857
2018-06-18T00:00:00.000Z,1259208.3140755426,6470.064285714286
2018-06-25T00:00:00.000Z,965105.9057049443,6179.542142857143
2018-07-02T00:00:00.000Z,901861.5191658129,6541.087857142857
2018-07-09T00:00:00.000Z,894623.2338819714,6372.74
2018-07-16T00:00:00.000Z,931499.7804277629,7250.520714285715
2018-07-23T00:00:00.000Z,904172.1272608828,8061.973571428572
2018-07-30T00:00:00.000Z,934959.0199219587,7545.455714285715
2018-08-06T00:00:00.000Z,1032039.9004451215,6521.82
2018-08-13T00:00:00.000Z,883523.1945207628,6364.337857142857
2018-08-20T00:00:00.000Z,802505.5147691143,6552.365714285714
2018-08-27T00:00:00.000Z,1125941.1035865915,7030.930714285714
2018-09-03T00:00:00.000Z,946053.3889546571,6747.210714285714
2018-09-10T00:00:00.000Z,850198.8450556315,6402.382142857144
2018-09-17T00:00:00.000Z,916215.6564340658,6510.047142857143
2018-09-24T00:00:00.000Z,943614.0472599484,6573.910714285713
2018-10-01T00:00:00.000Z,795190.0205512258,6566.694999999999
2018-10-08T00:00:00.000Z,878379.1175998729,6426.294999999999
2018-10-15T00:00:00.000Z,880829.3791258542,6566.937857142858
2018-10-22T00:00:00.000Z,833883.7680321315,6476.415714285714
2018-10-29T00:00:00.000Z,855048.5488966928,6366.322142857143
2018-11-05T00:00:00.000Z,775238.8886057871,6438.928571428572
2018-11-12T00:00:00.000Z,1030138.181142647,5854.653571428572
2018-11-19T00:00:00.000Z,1235224.4666286588,4421.692857142857
2018-11-26T00:00:00.000Z,1308423.346919347,4064.871428571429
2018-12-03T00:00:00.000Z,1453404.0714152872,3694.0728571428567
2018-12-10T00:00:00.000Z,1054167.7975192114,3363.569285714286
2018-12-17T00:00:00.000Z,1184767.0536746015,3840.592142857143
2018-12-24T00:00:00.000Z,1092944.3595316543,3887.297857142857
2018-12-31T00:00:00.000Z,821890.8300731042,3873.531428571429
2019-01-07T00:00:00.000Z,964817.2320552528,3853.957142857143
2019-01-14T00:00:00.000Z,913715.6831926999,3659.8935714285717
2019-01-21T00:00:00.000Z,1272098.676159723,3578.682857142857
2019-01-28T00:00:00.000Z,1808400.8576036,3456.191428571429
2019-02-04T00:00:00.000Z,2343922.209455638,3503.5564285714286
2019-02-11T00:00:00.000Z,2204875.3146700426,3622.527857142857
2019-02-18T00:00:00.000Z,1250250.923557867,3954.072142857143
2019-02-25T00:00:00.000Z,1496128.6754381643,3823.4007142857145
2019-03-04T00:00:00.000Z,1356230.8740637044,3863.5528571428576
2019-03-11T00:00:00.000Z,1155891.4087675244,3916.3307142857143
2019-03-18T00:00:00.000Z,1312000.8660291987,4006.34
2019-03-25T00:00:00.000Z,1225291.5468545558,4027.3578571428575
2019-04-01T00:00:00.000Z,1493060.4982168041,4856.995714285715
2019-04-08T00:00:00.000Z,1503603.4841322599,5168.756428571428
2019-04-15T00:00:00.000Z,1523595.9163372314,5230.410714285715
2019-04-22T00:00:00.000Z,1535028.0554102655,5339.969285714285
2019-04-29T00:00:00.000Z,1154782.74914395,5512.495000000001
2019-05-06T00:00:00.000Z,1260087.5968363672,6277.2128571428575
2019-05-13T00:00:00.000Z,1432866.4788277743,7708.428571428571
2019-05-20T00:00:00.000Z,1100114.6660251014,7960.182142857143
2019-05-27T00:00:00.000Z,1379017.6996704356,8600.82857142857
2019-06-03T00:00:00.000Z,1533340.4069747843,7892.250714285713
2019-06-10T00:00:00.000Z,1401766.533551743,8317.077857142856
2019-06-17T00:00:00.000Z,2187886.7462568255,9770.353571428572
2019-06-24T00:00:00.000Z,1703484.088766714,11670.088571428572
2019-07-01T00:00:00.000Z,1359507.8255015356,11101.875714285718
2019-07-08T00:00:00.000Z,2277393.2322892686,11697.52357142857
2019-07-15T00:00:00.000Z,2067734.7601531784,10286.26
2019-07-22T00:00:00.000Z,1830101.796246097,9863.022857142856
2019-07-29T00:00:00.000Z,1317239.5206124915,10172.124285714288
2019-08-05T00:00:00.000Z,1386378.2812260112,11651.484285714285
