DateTime,New Addresses,Active Addresses,Zero Balance Addresses,Price
2009-09-18T00:00:00.000Z,78,78,,
2009-09-19T00:00:00.000Z,74,74,,
2009-09-20T00:00:00.000Z,78,78,,
2009-09-21T00:00:00.000Z,69,78,8,
2009-09-22T00:00:00.000Z,25,66,40,
2009-09-23T00:00:00.000Z,36,36,,
2009-09-24T00:00:00.000Z,97,97,,
2009-09-25T00:00:00.000Z,91,119,26,
2009-09-26T00:00:00.000Z,100,100,,
2009-09-27T00:00:00.000Z,87,104,16,
2009-09-28T00:00:00.000Z,85,85,,
2009-09-29T00:00:00.000Z,88,133,43,
2009-09-30T00:00:00.000Z,85,85,,
2009-10-01T00:00:00.000Z,82,82,,
2009-10-02T00:00:00.000Z,72,83,10,
2009-10-03T00:00:00.000Z,58,58,,
2009-10-04T00:00:00.000Z,53,53,,
2009-10-05T00:00:00.000Z,55,55,,
2009-10-06T00:00:00.000Z,44,58,14,
2009-10-07T00:00:00.000Z,60,60,,
2009-10-08T00:00:00.000Z,70,70,,
2009-10-09T00:00:00.000Z,79,79,,
2009-10-10T00:00:00.000Z,77,77,,
2009-10-11T00:00:00.000Z,74,74,,
2009-10-12T00:00:00.000Z,58,132,72,
2009-10-13T00:00:00.000Z,57,57,,
2009-10-14T00:00:00.000Z,69,69,,
2009-10-15T00:00:00.000Z,71,71,,
2009-10-16T00:00:00.000Z,61,141,80,
2009-10-17T00:00:00.000Z,57,57,,
2009-10-18T00:00:00.000Z,74,82,7,
2009-10-19T00:00:00.000Z,112,112,,
2009-10-20T00:00:00.000Z,95,197,100,
2009-10-21T00:00:00.000Z,80,99,18,
2009-10-22T00:00:00.000Z,91,130,39,
2009-10-23T00:00:00.000Z,89,89,,
2009-10-24T00:00:00.000Z,63,70,7,
2009-10-25T00:00:00.000Z,76,76,,
2009-10-26T00:00:00.000Z,71,71,,
2009-10-27T00:00:00.000Z,65,81,16,
2009-10-28T00:00:00.000Z,66,66,,
2009-10-29T00:00:00.000Z,46,89,41,
2009-10-30T00:00:00.000Z,60,60,,
2009-10-31T00:00:00.000Z,46,46,,
2009-11-01T00:00:00.000Z,25,25,,
2009-11-02T00:00:00.000Z,33,33,,
2009-11-03T00:00:00.000Z,62,62,,
2009-11-04T00:00:00.000Z,64,105,41,
2009-11-05T00:00:00.000Z,57,57,,
2009-11-06T00:00:00.000Z,62,62,,
2009-11-07T00:00:00.000Z,69,69,,
2009-11-08T00:00:00.000Z,73,73,,
2009-11-09T00:00:00.000Z,64,64,,
2009-11-10T00:00:00.000Z,78,78,,
2009-11-11T00:00:00.000Z,65,116,51,
2009-11-12T00:00:00.000Z,66,66,,
2009-11-13T00:00:00.000Z,81,93,11,
2009-11-14T00:00:00.000Z,79,79,,
2009-11-15T00:00:00.000Z,96,96,,
2009-11-16T00:00:00.000Z,97,97,,
2009-11-17T00:00:00.000Z,92,92,,
2009-11-18T00:00:00.000Z,79,79,,
2009-11-19T00:00:00.000Z,72,153,82,
2009-11-20T00:00:00.000Z,86,86,,
2009-11-21T00:00:00.000Z,73,73,,
2009-11-22T00:00:00.000Z,106,106,,
2009-11-23T00:00:00.000Z,96,96,,
2009-11-24T00:00:00.000Z,93,93,,
2009-11-25T00:00:00.000Z,90,90,,
2009-11-26T00:00:00.000Z,84,84,,
2009-11-27T00:00:00.000Z,74,74,,
2009-11-28T00:00:00.000Z,71,71,,
2009-11-29T00:00:00.000Z,60,60,,
2009-11-30T00:00:00.000Z,75,75,,
2009-12-01T00:00:00.000Z,75,240,164,
2009-12-02T00:00:00.000Z,94,94,,
2009-12-03T00:00:00.000Z,88,88,,
2009-12-04T00:00:00.000Z,36,36,,
2009-12-05T00:00:00.000Z,66,84,18,
2009-12-06T00:00:00.000Z,105,107,3,
2009-12-07T00:00:00.000Z,112,112,,
2009-12-08T00:00:00.000Z,105,136,30,
2009-12-09T00:00:00.000Z,107,119,15,
2009-12-10T00:00:00.000Z,104,104,,
2009-12-11T00:00:00.000Z,112,112,,
2009-12-12T00:00:00.000Z,110,178,67,
2009-12-13T00:00:00.000Z,114,114,,
2009-12-14T00:00:00.000Z,107,437,331,
2009-12-15T00:00:00.000Z,111,119,6,
2009-12-16T00:00:00.000Z,137,154,17,
2009-12-17T00:00:00.000Z,172,179,5,
2009-12-18T00:00:00.000Z,225,225,,
2009-12-19T00:00:00.000Z,198,200,1,
2009-12-20T00:00:00.000Z,175,175,,
2009-12-21T00:00:00.000Z,176,177,1,
2009-12-22T00:00:00.000Z,162,162,,
2009-12-23T00:00:00.000Z,154,154,,
2009-12-24T00:00:00.000Z,154,154,,
2009-12-25T00:00:00.000Z,150,151,,
