"DateTime","Netflow","Price"
"2012-10-22 00:00:00",148695.52,11.06
"2012-10-29 00:00:00",127224.54,10.71
"2012-11-05 00:00:00",7053.97,10.86
"2012-11-12 00:00:00",181761.87,11.27
"2012-11-19 00:00:00",89757.01,12.04
"2012-11-26 00:00:00",82582.37,12.38
"2012-12-03 00:00:00",206814.65,13.17
"2012-12-10 00:00:00",131856.24,13.5
"2012-12-17 00:00:00",66259.33,13.36
"2012-12-24 00:00:00",88451.41,13.39
"2012-12-31 00:00:00",291221.58,13.39
"2013-01-07 00:00:00",121877.93,13.91
"2013-01-14 00:00:00",26435.09,15
"2013-01-21 00:00:00",231420.75,17.06
"2013-01-28 00:00:00",283910.98,19.66
"2013-02-04 00:00:00",165443.42,21.78
"2013-02-11 00:00:00",77373.62,25.61
"2013-02-18 00:00:00",165454.45,29.1
"2013-02-25 00:00:00",258407.48,32.41
"2013-03-04 00:00:00",202930.18,41.79
"2013-03-11 00:00:00",73535.45,46.15
"2013-03-18 00:00:00",116912.34,62.18
"2013-03-25 00:00:00",197913.82,84.41
"2013-04-01 00:00:00",101212.1,128.38
"2013-04-08 00:00:00",321768.17,147.01
"2013-04-15 00:00:00",79497.08,99.9
"2013-04-22 00:00:00",93243.59,135.54
"2013-04-29 00:00:00",53798.52,117.66
"2013-05-06 00:00:00",26666.93,113.35
"2013-05-13 00:00:00",14477.85,117.63
"2013-05-20 00:00:00",8027.52,126.58
"2013-05-27 00:00:00",31616.73,128.07
"2013-06-03 00:00:00",42869.48,114.75
"2013-06-10 00:00:00",19699.32,103.64
"2013-06-17 00:00:00",9677.07,107.72
"2013-06-24 00:00:00",36940.74,100.71
"2013-07-01 00:00:00",75257.99,79.94
"2013-07-08 00:00:00",27025.35,86.75
"2013-07-15 00:00:00",113786.23,94.15
"2013-07-22 00:00:00",7997.66,94.85
"2013-07-29 00:00:00",29593.02,104.47
"2013-08-05 00:00:00",22318.94,104.79
"2013-08-12 00:00:00",228502.71,110.02
"2013-08-19 00:00:00",68339.31,120.5
"2013-08-26 00:00:00",97860.79,132.8
"2013-09-02 00:00:00",89141.11,134.64
"2013-09-09 00:00:00",30392.66,137.38
"2013-09-16 00:00:00",42955.61,136.79
"2013-09-23 00:00:00",21590.35,137.73
"2013-09-30 00:00:00",78655.18,134.66
"2013-10-07 00:00:00",122073.25,139.85
"2013-10-14 00:00:00",111514.04,162.67
"2013-10-21 00:00:00",249497.01,198.85
"2013-10-28 00:00:00",38437.13,211.53
"2013-11-04 00:00:00",138582.51,294.57
"2013-11-11 00:00:00",-485.951531,420.35
"2013-11-18 00:00:00",389715.17,713.59
"2013-11-25 00:00:00",395435.25,1029.05
"2013-12-02 00:00:00",163554.97,978.37
"2013-12-09 00:00:00",161607.97,921.55
"2013-12-16 00:00:00",321658.86,682.04
"2013-12-23 00:00:00",77804.03,738.41
"2013-12-30 00:00:00",33692.64,852.69
"2014-01-06 00:00:00",70958.95,957.16
"2014-01-13 00:00:00",107494.73,921.17
"2014-01-20 00:00:00",136132.55,954.47
"2014-01-27 00:00:00",145555.75,946.08
"2014-02-03 00:00:00",37779.27,816.67
"2014-02-10 00:00:00",92666.31,484.16
"2014-02-17 00:00:00",64755.8,246.31
"2014-02-24 00:00:00",134141.4,443.52
